year,age,reg,value
,,Республика Хакасия,0.8
,,Алтайский край,0.7
,,Красноярский край,0.9
,,Иркутская область,0.7
,,Кемеровская область - Кузбасс,0.8
,,Новосибирская область,0.7
,,Омская область,0.9
,,Томская область,0.8
,,Республика Бурятия,1
,,Забайкальский край,1.1
,,Республика Саха (Якутия),0.9
,,Камчатский край,1.3
,,Приморский край,0.7
,,Хабаровский край,0.9
,,Амурская область,0.8
,,Магаданская область,1
,,Сахалинская область,1.2
,,Еврейская автономная область,0.5
,,Чукотский автономный округ,3.1
,,Северо-Западный федеральный округ,0.7
,,Республика Карелия,0.6
,,Республика Коми,1
,,Архангельская область,0.9
,,Ненецкий автономный округ (Архангельская область),0.8
,,Архангельская область (кроме Ненецкого автономного округа),0.9
,,Вологодская область,0.7
,,Калининградская область,0.8
,,Ленинградская область,0.5
,,Мурманская область,0.6
,,Новгородская область,1
,,Псковская область,0.6
,,Город Санкт-Петербург город федерального значения,0.5
,,Южный федеральный округ (с 29.07.2016),0.6
,,Республика Адыгея (Адыгея),0.8
,,Республика Калмыкия,0.5
,,Республика Крым,0.7
,,Краснодарский край,0.6
,,Астраханская область,0.5
,,Волгоградская область,0.6
,,Ростовская область,0.7
,,Город федерального значения Севастополь,0.7
,,Северо-Кавказский федеральный округ,0.4
,,Республика Дагестан,0.4
,,Республика Ингушетия,0.3
,,Кабардино-Балкарская Республика,0.5
,,Карачаево-Черкесская Республика,0.6
,,Республика Северная Осетия-Алания,0.3
,,Чеченская Республика,0.4
,,Ставропольский край,0.6
,,Приволжский федеральный округ,0.6
,,Республика Башкортостан,0.7
,,Республика Марий Эл,0.8
,,Республика Мордовия,0.7
,,Республика Татарстан (Татарстан),0.4
,,Удмуртская Республика,0.8
,,Чувашская Республика - Чувашия,0.8
,,Пермский край,0.7
,,Кировская область,0.4
,,Нижегородская область,0.7
,,Оренбургская область,0.7
,,Пензенская область,0.5
,,Самарская область,0.6
,,Саратовская область,0.4
,,Ульяновская область,0.6
,,Уральский федеральный округ,0.7
,,Курганская область,0.9
,,Свердловская область,0.7
,,Тюменская область,0.6
,,Ханты-Мансийский автономный округ - Югра (Тюменская область),0.4
,,Ямало-Ненецкий автономный округ (Тюменская область),0.8
,,Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),0.8
,,Челябинская область,0.6
,,Сибирский федеральный округ,0.8
,,Дальневосточный федеральный округ,0.9
,20-24,Российская Федерация,1.1
,,Центральный федеральный округ,1
,,Белгородская область,0.8
,,Брянская область,1
,,Владимирская область,1.1
,,Воронежская область,1
,,Ивановская область,0.9
,,Калужская область,1
,,Костромская область,0.7
,,Курская область,1.1
,,Липецкая область,1
,,Московская область,0.9
,,Орловская область,1
,,Рязанская область,1.1
,,Смоленская область,1.3
,,Тамбовская область,1.3
,,Тверская область,1.5
,,Тульская область,1.2
,,Ярославская область,1
,,Город Москва столица Российской Федерации город федерального значения,1
,,Республика Алтай,2.4
,,Республика Тыва,3.9
,,Республика Хакасия,1.7
,,Алтайский край,1.3
,,Красноярский край,1.6
,,Иркутская область,1.9
,,Кемеровская область - Кузбасс,1.9
,,Новосибирская область,1.1
,,Омская область,1.4
,,Томская область,1.2
,,Республика Бурятия,1.6
,,Забайкальский край,2
,,Республика Саха (Якутия),1.7
,,Камчатский край,1.9
,,Приморский край,1.3
,,Хабаровский край,1.3
,,Амурская область,1.1
,,Магаданская область,2.1
,,Сахалинская область,1.7
,,Еврейская автономная область,1.7
,,Чукотский автономный округ,2.4
,,Северо-Западный федеральный округ,1.1
,,Республика Карелия,1.5
,,Республика Коми,1.6
,,Архангельская область,1.4
,,Ненецкий автономный округ (Архангельская область),1.4
,,Архангельская область (кроме Ненецкого автономного округа),1.4
,,Вологодская область,1.4
,,Калининградская область,1
,,Ленинградская область,1.3
,,Мурманская область,1
,,Новгородская область,1
,,Псковская область,1.3
,,Город Санкт-Петербург город федерального значения,0.8
,,Южный федеральный округ (с 29.07.2016),1
,,Республика Адыгея (Адыгея),0.7
,,Республика Калмыкия,1.2
,,Республика Крым,1
,,Краснодарский край,0.9
,,Астраханская область,1.2
,,Волгоградская область,0.8
,,Ростовская область,1
,,Город федерального значения Севастополь,1.3
,,Северо-Кавказский федеральный округ,0.8
,,Республика Дагестан,0.7
,,Республика Ингушетия,0.5
,,Кабардино-Балкарская Республика,1.1
,,Карачаево-Черкесская Республика,1.2
,,Республика Северная Осетия-Алания,0.9
,,Чеченская Республика,0.5
,,Ставропольский край,0.9
,,Приволжский федеральный округ,1.2
,,Республика Башкортостан,1.4
,,Республика Марий Эл,1.2
,,Республика Мордовия,0.8
,,Республика Татарстан (Татарстан),0.8
,,Удмуртская Республика,1.4
,,Чувашская Республика - Чувашия,1.2
,,Пермский край,1.3
,,Кировская область,1.4
,,Нижегородская область,1.2
,,Оренбургская область,1.3
,,Пензенская область,1
,,Самарская область,1.2
,,Саратовская область,0.9
,,Ульяновская область,1.2
,,Уральский федеральный округ,1.4
,,Курганская область,2.2
,,Свердловская область,1.4
,,Тюменская область,1.3
,,Ханты-Мансийский автономный округ - Югра (Тюменская область),1.1
,,Ямало-Ненецкий автономный округ (Тюменская область),2.3
,,Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),1.2
,,Челябинская область,1.4
,,Сибирский федеральный округ,1.6
,,Дальневосточный федеральный округ,1.4
,25-29 лет,Российская Федерация,1.8
,,Центральный федеральный округ,1.6
,,Белгородская область,1.3
,,Брянская область,2.1
,,Владимирская область,2.3
,,Воронежская область,1.8
,,Ивановская область,2
,,Калужская область,1.7
,,Костромская область,2
,,Курская область,1.8
,,Липецкая область,1.5
,,Московская область,1.6
,,Орловская область,1.8
,,Рязанская область,1.7
,,Смоленская область,2.4
,,Тамбовская область,1.5
,,Тверская область,2.5
,,Тульская область,2.3
,,Ярославская область,1.8
,,Город Москва столица Российской Федерации город федерального значения,1.1
,,Республика Алтай,2.4
,,Республика Тыва,4.2
,,Республика Хакасия,2.9
,,Алтайский край,2.4
,,Красноярский край,2.4
,,Иркутская область,3.1
,,Кемеровская область - Кузбасс,3.7
,,Новосибирская область,2.1
,,Омская область,2
,,Томская область,1.7
,,Республика Бурятия,2.5
,,Забайкальский край,3
,,Республика Саха (Якутия),2.1
,,Камчатский край,3.1
,,Приморский край,2.2
,,Хабаровский край,2
,,Амурская область,2.6
,,Магаданская область,3.4
,,Сахалинская область,2.6
,,Еврейская автономная область,3.8
,,Чукотский автономный округ,5.4
,,Северо-Западный федеральный округ,1.6
,,Республика Карелия,2.3
,,Республика Коми,2.8
,,Архангельская область,2.3
,,Ненецкий автономный округ (Архангельская область),5.6
,,Архангельская область (кроме Ненецкого автономного округа),2.2
,,Вологодская область,1.7
,,Калининградская область,1.5
,,Ленинградская область,1.9
,,Мурманская область,1.6
,,Новгородская область,2.9
,,Псковская область,2.3
,,Город Санкт-Петербург город федерального значения,1
,,Южный федеральный округ (с 29.07.2016),1.6
,,Республика Адыгея (Адыгея),1.3
,,Республика Калмыкия,1.6
,,Республика Крым,1.8
,,Краснодарский край,1.4
,,Астраханская область,1.6
,,Волгоградская область,1.6
,,Ростовская область,1.7
,,Город федерального значения Севастополь,1.7
,,Северо-Кавказский федеральный округ,0.8
,,Республика Дагестан,0.6
,,Республика Ингушетия,0.7
,,Кабардино-Балкарская Республика,0.9
,,Карачаево-Черкесская Республика,1.2
,,Республика Северная Осетия-Алания,1.2
,,Чеченская Республика,0.6
,,Ставропольский край,1.1
,,Приволжский федеральный округ,2
,,Республика Башкортостан,2.1
,,Республика Марий Эл,2.1
,,Республика Мордовия,1.3
,,Республика Татарстан (Татарстан),1.2
,,Удмуртская Республика,2.3
,,Чувашская Республика - Чувашия,1.8
,,Пермский край,2.6
,,Кировская область,2
,,Нижегородская область,2.2
,,Оренбургская область,2.4
,,Пензенская область,1.7
,,Самарская область,2.2
,,Саратовская область,1.5
,,Ульяновская область,1.9
,,Уральский федеральный округ,2.3
,,Курганская область,3.1
,,Свердловская область,2.4
,,Тюменская область,1.7
,,Ханты-Мансийский автономный округ - Югра (Тюменская область),1.4
,,Ямало-Ненецкий автономный округ (Тюменская область),1.7
,,Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),1.9
,,Челябинская область,2.6
,,Сибирский федеральный округ,2.6
,,Дальневосточный федеральный округ,2.4
,30-34 лет,Российская Федерация,3.1
,,Центральный федеральный округ,2.6
,,Белгородская область,2.1
,,Брянская область,3.2
,,Владимирская область,3.7
,,Воронежская область,3
,,Ивановская область,3.2
,,Калужская область,2.8
,,Костромская область,3.1
,,Курская область,3.1
,,Липецкая область,2.3
,,Московская область,2.7
,,Орловская область,2.9
,,Рязанская область,3
,,Смоленская область,3.9
,,Тамбовская область,3
,,Тверская область,4
,,Тульская область,3.8
,,Ярославская область,3.2
,,Город Москва столица Российской Федерации город федерального значения,1.7
,,Республика Алтай,2.5
,,Республика Тыва,5.7
,,Республика Хакасия,3.4
,,Алтайский край,3.6
,,Красноярский край,4
,,Иркутская область,5.6
,,Кемеровская область - Кузбасс,5.3
,,Новосибирская область,3.7
,,Омская область,3.5
,,Томская область,3
,,Республика Бурятия,3.5
,,Забайкальский край,4.1
,,Республика Саха (Якутия),3.4
,,Камчатский край,4
,,Приморский край,3.4
,,Хабаровский край,3.2
,,Амурская область,4
,,Магаданская область,3.1
,,Сахалинская область,3.7
,,Еврейская автономная область,4.8
,,Чукотский автономный округ,6.4
,,Северо-Западный федеральный округ,2.8
,,Республика Карелия,3.1
,,Республика Коми,3.8
,,Архангельская область,3
,,Ненецкий автономный округ (Архангельская область),3
,,Архангельская область (кроме Ненецкого автономного округа),3
,,Вологодская область,2.9
,,Калининградская область,2.9
,,Ленинградская область,3.1
,,Мурманская область,3.2
,,Новгородская область,3.9
,,Псковская область,3.5
,,Город Санкт-Петербург город федерального значения,2.2
,,Южный федеральный округ (с 29.07.2016),2.5
,,Республика Адыгея (Адыгея),2.4
,,Республика Калмыкия,1.5
,,Республика Крым,3.1
,,Краснодарский край,2.4
,,Астраханская область,2.4
,,Волгоградская область,2.6
,,Ростовская область,2.5
,,Город федерального значения Севастополь,3.5
,,Северо-Кавказский федеральный округ,1.3
,,Республика Дагестан,0.9
,,Республика Ингушетия,0.7
,,Кабардино-Балкарская Республика,1.3
,,Карачаево-Черкесская Республика,1.5
,,Республика Северная Осетия-Алания,2.1
,,Чеченская Республика,0.9
,,Ставропольский край,1.9
,,Приволжский федеральный округ,3.4
,,Республика Башкортостан,3.6
,,Республика Марий Эл,3.2
,,Республика Мордовия,2.8
,,Республика Татарстан (Татарстан),2.3
,,Удмуртская Республика,3.5
,,Чувашская Республика - Чувашия,3
,,Пермский край,4.3
,,Кировская область,2.5
,,Нижегородская область,3.4
,,Оренбургская область,4
,,Пензенская область,2.5
,,Самарская область,4.6
,,Саратовская область,3
,,Ульяновская область,4.1
,,Уральский федеральный округ,3.9
,,Курганская область,5
,,Свердловская область,4.4
,,Тюменская область,2.8
,,Ханты-Мансийский автономный округ - Югра (Тюменская область),2.6
,,Ямало-Ненецкий автономный округ (Тюменская область),2.2
,,Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),3.2
,,Челябинская область,4.3
,,Сибирский федеральный округ,4.2
,,Дальневосточный федеральный округ,3.5
,35-39 лет,Российская Федерация,4.5
,,Центральный федеральный округ,3.7
,,Белгородская область,3
,,Брянская область,4.5
,,Владимирская область,5
,,Воронежская область,4.4
,,Ивановская область,4.7
,,Калужская область,4.6
,,Костромская область,3.9
,,Курская область,4.4
,,Липецкая область,4.3
,,Московская область,4
,,Орловская область,4.4
,,Рязанская область,3.9
,,Смоленская область,4.9
,,Тамбовская область,4
,,Тверская область,5.5
,,Тульская область,5.1
,,Ярославская область,4.6
,,Город Москва столица Российской Федерации город федерального значения,2.6
,,Республика Алтай,3.7
,,Республика Тыва,8.4
,,Республика Хакасия,5.8
,,Алтайский край,5.4
,,Красноярский край,5.6
,,Иркутская область,7.4
,,Кемеровская область - Кузбасс,7.5
,,Новосибирская область,5.5
,,Омская область,5.1
,,Томская область,4.9
,,Республика Бурятия,5.5
,,Забайкальский край,5.7
,,Республика Саха (Якутия),4.5
,,Камчатский край,4.9
,,Приморский край,5.2
,,Хабаровский край,5.5
,,Амурская область,5.9
,,Магаданская область,5.5
,,Сахалинская область,5.6
,,Еврейская автономная область,6.7
,,Чукотский автономный округ,5.8
,,Северо-Западный федеральный округ,4.3
,,Республика Карелия,4.8
,,Республика Коми,4.9
,,Архангельская область,4.2
,,Ненецкий автономный округ (Архангельская область),2.7
,,Архангельская область (кроме Ненецкого автономного округа),4.3
,,Вологодская область,4.6
,,Калининградская область,4.5
,,Ленинградская область,5
,,Мурманская область,4.8
,,Новгородская область,6.2
,,Псковская область,4.6
,,Город Санкт-Петербург город федерального значения,3.5
,,Южный федеральный округ (с 29.07.2016),4
,,Республика Адыгея (Адыгея),4.4
,,Республика Калмыкия,3.4
,,Республика Крым,5.1
,,Краснодарский край,3.7
,,Астраханская область,4
,,Волгоградская область,4.2
,,Ростовская область,3.7
,,Город федерального значения Севастополь,5.1
,,Северо-Кавказский федеральный округ,2.1
,,Республика Дагестан,1.4
,,Республика Ингушетия,1.3
,,Кабардино-Балкарская Республика,2.2
,,Карачаево-Черкесская Республика,2.3
,,Республика Северная Осетия-Алания,2.5
,,Чеченская Республика,1.1
,,Ставропольский край,3.1
,,Приволжский федеральный округ,5.1
,,Республика Башкортостан,5.6
,,Республика Марий Эл,5.5
,,Республика Мордовия,4.1
,,Республика Татарстан (Татарстан),3.8
,,Удмуртская Республика,4.9
,,Чувашская Республика - Чувашия,4.9
,,Пермский край,6.6
,,Кировская область,3.8
,,Нижегородская область,5.2
,,Оренбургская область,5.6
,,Пензенская область,3.8
,,Самарская область,6
,,Саратовская область,3.9
,,Ульяновская область,5.8
,,Уральский федеральный округ,5.8
,,Курганская область,6.2
,,Свердловская область,6.8
,,Тюменская область,4.4
,,Ханты-Мансийский автономный округ - Югра (Тюменская область),3.8
,,Ямало-Ненецкий автономный округ (Тюменская область),3.2
,,Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),5.6
,,Челябинская область,6.3
,,Сибирский федеральный округ,6
,,Дальневосточный федеральный округ,5.3
,40-44 лет,Российская Федерация,5.5
,,Центральный федеральный округ,4.7
,,Белгородская область,4.3
,,Брянская область,5.6
,,Владимирская область,6.1
,,Воронежская область,5.3
,,Ивановская область,6
,,Калужская область,5.5
,,Костромская область,5.2
,,Курская область,5.5
,,Липецкая область,5.2
,,Московская область,4.9
,,Орловская область,6
,,Рязанская область,5.3
,,Смоленская область,6.6
,,Тамбовская область,5.3
,,Тверская область,7.2
,,Тульская область,5.6
,,Ярославская область,5.4
,,Город Москва столица Российской Федерации город федерального значения,3.3
,,Республика Алтай,5.5
,,Республика Тыва,8.5
,,Республика Хакасия,7.1
,,Алтайский край,5.4
,,Красноярский край,6.8
,,Иркутская область,8.6
,,Кемеровская область - Кузбасс,7.6
,,Новосибирская область,5.7
,,Омская область,6.3
,,Томская область,5.7
,,Республика Бурятия,7.7
,,Забайкальский край,6.9
,,Республика Саха (Якутия),6
,,Камчатский край,6.9
,,Приморский край,6.7
,,Хабаровский край,7.5
,,Амурская область,8.2
,,Магаданская область,6.1
,,Сахалинская область,8
,,Еврейская автономная область,7.8
,,Чукотский автономный округ,7
,,Северо-Западный федеральный округ,5.8
,,Республика Карелия,6.8
,,Республика Коми,6.6
,,Архангельская область,6.3
,,Ненецкий автономный округ (Архангельская область),6.4
,,Архангельская область (кроме Ненецкого автономного округа),6.3
,,Вологодская область,6.4
,,Калининградская область,5.8
,,Ленинградская область,6.7
,,Мурманская область,5.4
,,Новгородская область,7.7
,,Псковская область,6.6
,,Город Санкт-Петербург город федерального значения,4.8
,,Южный федеральный округ (с 29.07.2016),5.1
,,Республика Адыгея (Адыгея),4.7
,,Республика Калмыкия,4.7
,,Республика Крым,6.5
,,Краснодарский край,4.7
,,Астраханская область,5.2
,,Волгоградская область,5
,,Ростовская область,5.1
,,Город федерального значения Севастополь,5.9
,,Северо-Кавказский федеральный округ,3
,,Республика Дагестан,1.9
,,Республика Ингушетия,2.2
,,Кабардино-Балкарская Республика,3.3
,,Карачаево-Черкесская Республика,3.8
,,Республика Северная Осетия-Алания,3.6
,,Чеченская Республика,2
,,Ставропольский край,4.2
,,Приволжский федеральный округ,6
,,Республика Башкортостан,6.2
,,Республика Марий Эл,6
,,Республика Мордовия,4.8
,,Республика Татарстан (Татарстан),4.7
,,Удмуртская Республика,6
,,Чувашская Республика - Чувашия,6.3
,,Пермский край,6.9
,,Кировская область,5.2
,,Нижегородская область,6.1
,,Оренбургская область,6.5
,,Пензенская область,4.7
,,Самарская область,6.9
,,Саратовская область,5.3
,,Ульяновская область,6.8
,,Уральский федеральный округ,6.1
,,Курганская область,6.4
,,Свердловская область,7.1
,,Тюменская область,4.9
,,Ханты-Мансийский автономный округ - Югра (Тюменская область),4.2
,,Ямало-Ненецкий автономный округ (Тюменская область),4.4
,,Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),6.1
,,Челябинская область,6.1
,,Сибирский федеральный округ,6.8
,,Дальневосточный федеральный округ,7.1
,45-49 лет,Российская Федерация,6.8
,,Центральный федеральный округ,6.1
,,Белгородская область,6
,,Брянская область,8
,,Владимирская область,7.9
,,Воронежская область,6.9
,,Ивановская область,8
,,Калужская область,8.1
,,Костромская область,7.3
,,Курская область,7.2
,,Липецкая область,6.6
,,Московская область,6.2
,,Орловская область,7.7
,,Рязанская область,7.2
,,Смоленская область,8
,,Тамбовская область,6.7
,,Тверская область,9.1
,,Тульская область,7.5
,,Ярославская область,7.5
,,Город Москва столица Российской Федерации город федерального значения,4
,,Республика Алтай,7.9
,,Республика Тыва,12.5
,,Республика Хакасия,8
,,Алтайский край,7.2
,,Красноярский край,7.8
,,Иркутская область,9.6
,,Кемеровская область - Кузбасс,8.4
,,Новосибирская область,7.1
,,Омская область,7.1
,,Томская область,7.2
,,Республика Бурятия,9.3
,,Забайкальский край,8.9
,,Республика Саха (Якутия),7.3
,,Камчатский край,8.2
,,Приморский край,8.5
,,Хабаровский край,10
,,Амурская область,10.6
,,Магаданская область,8.2
,,Сахалинская область,9.6
,,Еврейская автономная область,11.8
,,Чукотский автономный округ,9.3
,,Северо-Западный федеральный округ,7.2
,,Республика Карелия,9.7
,,Республика Коми,8.9
,,Архангельская область,8.8
,,Ненецкий автономный округ (Архангельская область),5.2
,,Архангельская область (кроме Ненецкого автономного округа),8.9
,,Вологодская область,7.9
,,Калининградская область,7.3
,,Ленинградская область,7.1
,,Мурманская область,7.8
,,Новгородская область,8
,,Псковская область,9.2
,,Город Санкт-Петербург город федерального значения,5.7
,,Южный федеральный округ (с 29.07.2016),6.7
,,Республика Адыгея (Адыгея),6.5
,,Республика Калмыкия,5.2
,,Республика Крым,8.7
,,Краснодарский край,6.2
,,Астраханская область,7
,,Волгоградская область,6.4
,,Ростовская область,6.7
,,Город федерального значения Севастополь,7.8
,,Северо-Кавказский федеральный округ,4.2
,,Республика Дагестан,2.9
,,Республика Ингушетия,2.5
,,Кабардино-Балкарская Республика,4.4
,,Карачаево-Черкесская Республика,4.5
,,Республика Северная Осетия-Алания,5.2
,,Чеченская Республика,3.6
,,Ставропольский край,5.8
,,Приволжский федеральный округ,7.1
,,Республика Башкортостан,7.6
,,Республика Марий Эл,7.9
,,Республика Мордовия,6.8
,,Республика Татарстан (Татарстан),5.9
,,Удмуртская Республика,7.4
,,Чувашская Республика - Чувашия,8.2
,,Пермский край,8
,,Кировская область,7
,,Нижегородская область,7.3
,,Оренбургская область,7.4
,,Пензенская область,6.3
,,Самарская область,7.3
,,Саратовская область,6.7
,,Ульяновская область,7.1
,,Уральский федеральный округ,7.2
,,Курганская область,8.8
,,Свердловская область,8
,,Тюменская область,5.8
,,Ханты-Мансийский автономный округ - Югра (Тюменская область),4.7
,,Ямало-Ненецкий автономный округ (Тюменская область),5.6
,,Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),7.3
,,Челябинская область,7.3
,,Сибирский федеральный округ,8
,,Дальневосточный федеральный округ,9
,50-54 лет,Российская Федерация,9.4
,,Центральный федеральный округ,8.6
,,Белгородская область,8.2
,,Брянская область,10.5
,,Владимирская область,10.7
,,Воронежская область,9.6
,,Ивановская область,11.1
,,Калужская область,9.7
,,Костромская область,9.9
,,Курская область,10.6
,,Липецкая область,9.4
,,Московская область,8.7
,,Орловская область,10.7
,,Рязанская область,10.1
,,Смоленская область,11.1
,,Тамбовская область,9.7
,,Тверская область,11.7
,,Тульская область,11.2
,,Ярославская область,10.7
,,Город Москва столица Российской Федерации город федерального значения,5.8
,,Республика Алтай,9.6
,,Республика Тыва,14.7
,,Республика Хакасия,11.5
,,Алтайский край,10.1
,,Красноярский край,10.7
,,Иркутская область,12.5
,,Кемеровская область - Кузбасс,11.1
,,Новосибирская область,9.1
,,Омская область,9.6
,,Томская область,9.3
,,Республика Бурятия,11.7
,,Забайкальский край,13.1
,,Республика Саха (Якутия),10.3
,,Камчатский край,12
,,Приморский край,11.7
,,Хабаровский край,13.5
,,Амурская область,13.6
,,Магаданская область,13.7
,,Сахалинская область,12.9
,,Еврейская автономная область,16.5
,,Чукотский автономный округ,12.8
,,Северо-Западный федеральный округ,9.8
,,Республика Карелия,12.3
,,Республика Коми,12.2
,,Архангельская область,10.6
,,Ненецкий автономный округ (Архангельская область),8.4
,,Архангельская область (кроме Ненецкого автономного округа),10.7
,,Вологодская область,11.6
,,Калининградская область,9.8
,,Ленинградская область,10
,,Мурманская область,11.5
,,Новгородская область,13
,,Псковская область,13
,,Город Санкт-Петербург город федерального значения,7.4
,,Южный федеральный округ (с 29.07.2016),9.6
,,Республика Адыгея (Адыгея),9.8
,,Республика Калмыкия,7.6
,,Республика Крым,11.2
,,Краснодарский край,9.1
,,Астраханская область,10.3
,,Волгоградская область,9.6
,,Ростовская область,9.3
,,Город федерального значения Севастополь,11.2
,,Северо-Кавказский федеральный округ,6.4
,,Республика Дагестан,4.4
,,Республика Ингушетия,3.7
,,Кабардино-Балкарская Республика,6.6
,,Карачаево-Черкесская Республика,7
,,Республика Северная Осетия-Алания,8.3
,,Чеченская Республика,5.5
,,Ставропольский край,8.3
,,Приволжский федеральный округ,9.5
,,Республика Башкортостан,10
,,Республика Марий Эл,10.3
,,Республика Мордовия,8.2
,,Республика Татарстан (Татарстан),8
,,Удмуртская Республика,10.1
,,Чувашская Республика - Чувашия,9.7
,,Пермский край,11.4
,,Кировская область,9.8
,,Нижегородская область,10
,,Оренбургская область,10
,,Пензенская область,9.1
,,Самарская область,9.3
,,Саратовская область,8.7
,,Ульяновская область,9.3
,,Уральский федеральный округ,9.6
,,Курганская область,10.8
,,Свердловская область,10.4
,,Тюменская область,7.9
,,Ханты-Мансийский автономный округ - Югра (Тюменская область),7
,,Ямало-Ненецкий автономный округ (Тюменская область),6.7
,,Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),9.4
,,Челябинская область,10.1
,,Сибирский федеральный округ,10.7
,,Дальневосточный федеральный округ,12.4
,55-59 лет,Российская Федерация,13.2
,,Центральный федеральный округ,12.3
,,Белгородская область,11.9
,,Брянская область,14.7
,,Владимирская область,15.4
,,Воронежская область,13.2
,,Ивановская область,14.2
,,Калужская область,14.5
,,Костромская область,14.5
,,Курская область,15.6
,,Липецкая область,14.2
,,Московская область,12.5
,,Орловская область,14.3
,,Рязанская область,13.9
,,Смоленская область,15.5
,,Тамбовская область,13.6
,,Тверская область,16.6
,,Тульская область,14.9
,,Ярославская область,14.8
,,Город Москва столица Российской Федерации город федерального значения,8.5
,,Республика Алтай,13.7
,,Республика Тыва,21.5
,,Республика Хакасия,16
,,Алтайский край,13.5
,,Красноярский край,15
,,Иркутская область,16.5
,,Кемеровская область - Кузбасс,15.6
,,Новосибирская область,13.5
,,Омская область,13.6
,,Томская область,14.5
,,Республика Бурятия,14.7
,,Забайкальский край,17.8
,,Республика Саха (Якутия),13
,,Камчатский край,17.5
,,Приморский край,15.8
,,Хабаровский край,17.1
,,Амурская область,18.2
,,Магаданская область,16.6
,,Сахалинская область,17.6
,,Еврейская автономная область,17.9
,,Чукотский автономный округ,18.4
,,Северо-Западный федеральный округ,13.8
,,Республика Карелия,16
,,Республика Коми,16.9
,,Архангельская область,16.6
,,Ненецкий автономный округ (Архангельская область),16.6
,,Архангельская область (кроме Ненецкого автономного округа),16.6
,,Вологодская область,16.2
,,Калининградская область,12.9
,,Ленинградская область,13.9
,,Мурманская область,15.1
,,Новгородская область,16.5
,,Псковская область,17.9
,,Город Санкт-Петербург город федерального значения,10.6
,,Южный федеральный округ (с 29.07.2016),12.7
,,Республика Адыгея (Адыгея),12
,,Республика Калмыкия,11.4
,,Республика Крым,14
,,Краснодарский край,12.3
,,Астраханская область,13.8
,,Волгоградская область,12.7
,,Ростовская область,12.8
,,Город федерального значения Севастополь,12.1
,,Северо-Кавказский федеральный округ,9.2
,,Республика Дагестан,7.1
,,Республика Ингушетия,4.9
,,Кабардино-Балкарская Республика,9.2
,,Карачаево-Черкесская Республика,9.7
,,Республика Северная Осетия-Алания,9.8
,,Чеченская Республика,9.3
,,Ставропольский край,11.3
,,Приволжский федеральный округ,13.5
,,Республика Башкортостан,14.1
,,Республика Марий Эл,14.1
,,Республика Мордовия,12.8
,,Республика Татарстан (Татарстан),11.6
,,Удмуртская Республика,14.1
,,Чувашская Республика - Чувашия,13.7
,,Пермский край,15.5
,,Кировская область,14.3
,,Нижегородская область,14.4
,,Оренбургская область,13.9
,,Пензенская область,12.6
,,Самарская область,12.8
,,Саратовская область,13
,,Ульяновская область,13.1
,,Уральский федеральный округ,13.5
,,Курганская область,14.5
,,Свердловская область,14.4
,,Тюменская область,11.6
,,Ханты-Мансийский автономный округ - Югра (Тюменская область),10.4
,,Ямало-Ненецкий автономный округ (Тюменская область),11.2
,,Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),13.1
